"fecha";"Run Fondo";"serie";"tipo_rentabilidad";"rentabilidad_acumulada"
2023-02-01;"8251";K;YTD;-0.00814464086031852
2023-02-01;"8251";P;"1M";-0.008952336009378947
2023-02-01;"8251";P;"3M";0.019887388739781908
2023-02-01;"8251";P;"6M";-0.004056772671803932
2023-02-01;"8251";P;"1Y";0.03279764951161268
2023-02-01;"8251";P;YTD;-0.008619782207544002
2023-02-01;"8336";I-APV;"1M";-0.011727526230257634
2023-02-01;"8336";I-APV;"3M";-0.02013004743739344
2023-02-01;"8336";I-APV;"6M";-0.03230717554109719
2023-02-01;"8336";I-APV;"1Y";-0.032808121751173314
2023-02-01;"8336";I-APV;YTD;-0.011480565834080192
2023-02-01;"8576";APV;"1M";-0.0057796022168215
2023-02-01;"8576";APV;"3M";0.01260059246364742
2023-02-01;"8576";APV;"6M";-0.01842285272733557
2023-02-01;"8576";APV;"1Y";-0.01871722252386321
2023-02-01;"8576";APV;YTD;-0.005648007037542757
2023-02-01;"8578";APV;"1M";-0.00942448613484248
2023-02-01;"8578";APV;"3M";0.04429160742516447
2023-02-01;"8578";APV;"6M";0.01488125309823296
2023-02-01;"8578";APV;"1Y";0.039188935718102336
2023-02-01;"8578";APV;YTD;-0.009096302274995471
2023-02-01;"8639";APV;"1M";0.0045898550038505626
2023-02-01;"8639";APV;"3M";0.02562919082520443
2023-02-01;"8639";APV;"6M";-0.010394649650039556
2023-02-01;"8639";APV;"1Y";0.0032342794031241517
2023-02-01;"8639";APV;YTD;0.004810675429806954
2023-02-01;"8687";APV;"1M";-0.005717061587458883
2023-02-01;"8687";APV;"3M";-0.02343404978796837
2023-02-01;"8687";APV;"6M";-0.05534483023657932
2023-02-01;"8687";APV;"1Y";-0.029832497262202606
2023-02-01;"8687";APV;YTD;-0.005496710161992935
2023-02-01;"8687";D;"1M";-0.006662380100939558
2023-02-01;"8687";D;"3M";-0.026187278842437434
2023-02-01;"8687";D;"6M";-0.06066384514126422
2023-02-01;"8687";D;"1Y";-0.04063866728220522
2023-02-01;"8687";D;YTD;-0.006503226175878618
2023-02-01;"8687";G;"1M";-0.005717129449576586
2023-02-01;"8687";G;"3M";-0.02343427112826002
2023-02-01;"8687";G;"6M";-0.055345156971685294
2023-02-01;"8687";G;"1Y";-0.029832810525228126
2023-02-01;"8687";G;YTD;-0.005496784827865975
2023-02-01;"8695";W-APV;"1M";-0.007646868992998157
2023-02-01;"8695";W-APV;"3M";0.018460711587508172
2023-02-01;"8695";W-APV;"6M";0.002045403179083527
2023-02-01;"8695";W-APV;"1Y";0.02995544104075676
2023-02-01;"8695";W-APV;YTD;-0.007474362130477918
2023-02-01;"8774";C;"1M";0.0020243865016285056
2023-02-01;"8774";C;"3M";0.02782925691947935
2023-02-01;"8774";C;"6M";-0.0003869348016854
2023-02-01;"8774";C;"1Y";0.07136547034249663
2023-02-01;"8774";C;YTD;0.0022844231026262207
2023-02-01;"8774";D;"1M";0.0021946089098203725
2023-02-01;"8774";D;"3M";0.028347600332277123
2023-02-01;"8774";D;"6M";0.0006213694369663
2023-02-01;"8774";D;"1Y";0.07351040266273556
2023-02-01;"8774";D;YTD;0.0024657111844219592
2023-02-01;"8825";B;"1M";-0.0023406091426163567
2023-02-01;"8825";B;"3M";0.003071594382850984
2023-02-01;"8825";B;"6M";-0.02835666865944786
2023-02-01;"8825";B;"1Y";-0.02997967095392462
2023-02-01;"8825";B;YTD;-0.0021095159275434927
2023-02-01;"8825";H;"1M";-0.002171133873901665
2023-02-01;"8825";H;"3M";0.003576966685136629
2023-02-01;"8825";H;"6M";-0.02737668597710008
2023-02-01;"8825";H;"1Y";-0.009014443565387498
2023-02-01;"8825";H;YTD;-0.001929105776520057
2023-02-01;"8825";K;"1M";-0.0017540698915500252
2023-02-01;"8825";K;"3M";0.004822706321599979
2023-02-01;"8825";K;"6M";-0.024961478366602785
2023-02-01;"8825";K;"1Y";-0.00596031767241989
2023-02-01;"8825";K;YTD;-0.001485029795918913
2023-02-01;"8825";P;"1M";-0.002171319393358684
2023-02-01;"8825";P;"3M";0.003576689939715827
2023-02-01;"8825";P;"6M";-0.02737659570477058
2023-02-01;"8825";P;"1Y";-0.009014632979761905
2023-02-01;"8825";P;YTD;-0.0019292890463730172
2023-02-01;"8826";B;"1M";-0.0025676896908606306
2023-02-01;"8826";B;"3M";0.016647015724658543
2023-02-01;"8826";B;"6M";-0.009908076028780965
2023-02-01;"8826";B;"1Y";-0.008750622958489607
2023-02-01;"8826";B;YTD;-0.0022915795148907847
2023-02-01;"8826";H;"1M";-0.002398085838600461
2023-02-01;"8826";H;"3M";0.01715955034399963
2023-02-01;"8826";H;"6M";-0.008909620595820011
2023-02-01;"8826";H;"1Y";0.009602976456923207
2023-02-01;"8826";H;YTD;-0.0021109847721363373
2023-02-01;"8826";K;"1M";-0.0019489304878832492
2023-02-01;"8826";K;"3M";0.01851944037415465
2023-02-01;"8826";K;"6M";-0.006257941334126049
2023-02-01;"8826";K;"1Y";0.01332752215170796
2023-02-01;"8826";K;YTD;-0.0016327721582879429
2023-02-01;"8826";P;"1M";-0.002398443069166256
2023-02-01;"8826";P;"3M";0.01715918983916853
2023-02-01;"8826";P;"6M";-0.008909844089725172
2023-02-01;"8826";P;"1Y";0.00960223338744437
2023-02-01;"8826";P;YTD;-0.00211134390646861
2023-02-01;"8845";APV;"1M";-0.0000658584671684
2023-02-01;"8845";APV;"3M";0.006537292259414906
2023-02-01;"8845";APV;"6M";-0.010142089960770373
2023-02-01;"8845";APV;"1Y";0.032666621885297564
2023-02-01;"8845";APV;YTD;0.0002963240417004
2023-02-01;"8845";G;"1M";0.0000615508844783
2023-02-01;"8845";G;"3M";0.006917933331768156
2023-02-01;"8845";G;"6M";-0.00939328363560632
2023-02-01;"8845";G;"1Y";0.03421685979091982
2023-02-01;"8845";G;YTD;0.0004319875375571
2023-02-01;"8911";APV;"1M";-0.0003001565246449
2023-02-01;"8911";APV;"3M";0.005535688720100351
2023-02-01;"8911";APV;"6M";-0.013774318967157417
2023-02-01;"8911";APV;"1Y";0.018866683863484557
2023-02-01;"8911";APV;YTD;0.0000266746802065
2023-02-01;"8992";APV;"1M";-0.0055943504326022575
2023-02-01;"8992";APV;"3M";-0.025624805698316933
2023-02-01;"8992";APV;"6M";-0.052883011927423174
2023-02-01;"8992";APV;"1Y";-0.050781601256618236
2023-02-01;"8992";APV;YTD;-0.005546382330374411
2023-02-01;"8992";APV2;"1M";-0.005087307589727308
2023-02-01;"8992";APV2;"3M";-0.024150104445052056
2023-02-01;"8992";APV2;"6M";-0.05001351417549815
2023-02-01;"8992";APV2;"1Y";-0.045069348260772024
2023-02-01;"8992";APV2;YTD;-0.005006586569971105
2023-02-01;"8992";S-APV;"1M";-0.005171869321562772
2023-02-01;"8992";S-APV;"3M";-0.02439570116253542
2023-02-01;"8992";S-APV;"6M";-0.050492134013683576
2023-02-01;"8992";S-APV;"1Y";-0.04602341504675511
2023-02-01;"8992";S-APV;YTD;-0.0050966316424765346
2023-02-01;"9006";APV;"1M";0.004080953222934447
2023-02-01;"9006";APV;"3M";0.017174661065235686
2023-02-01;"9006";APV;"6M";0.009680823036835928
2023-02-01;"9006";APV;"1Y";0.030669307350653652
2023-02-01;"9006";APV;YTD;0.004410653090496375
2023-02-01;"9043";B;"1M";-0.005742403248093275
2023-02-01;"9043";B;"3M";-0.0004351355343107
2023-02-01;"9043";B;"6M";-0.025907389254488322
2023-02-01;"9043";B;"1Y";-0.00554624841391016
2023-02-01;"9043";B;YTD;-0.005456419617871244
2023-02-01;"9043";BPLUS;"1M";-0.005193567764691598
2023-02-01;"9043";BPLUS;"3M";0.0012036107521709027
2023-02-01;"9043";BPLUS;"6M";-0.022710974315849897
2023-02-01;"9043";BPLUS;"1Y";0.000938328826368
2023-02-01;"9043";BPLUS;YTD;-0.004871991422314204
2023-02-01;"9062";APV;"1M";-0.002156111116022985
2023-02-01;"9062";APV;"3M";-0.0038845282947093107
2023-02-01;"9062";APV;"6M";-0.02270668460562386
2023-02-01;"9062";APV;"1Y";0.030529873070404
2023-02-01;"9062";APV;YTD;-0.001951425482078828
2023-02-01;"9062";APV-AP;"1M";-0.0018932623373286717
2023-02-01;"9062";APV-AP;"3M";-0.003105807533478111
2023-02-01;"9062";APV-AP;"6M";-0.021178165493608403
2023-02-01;"9062";APV-AP;"1Y";0.03372956744428146
2023-02-01;"9062";APV-AP;YTD;-0.0016715710795006666
2023-02-01;"9190";APV;"1M";0.007777742809919497
2023-02-01;"9190";APV;"3M";0.02379413106485151
2023-02-01;"9190";APV;"6M";-0.004911526274199773
2023-02-01;"9190";APV;"1Y";0.015592972493445378
2023-02-01;"9190";APV;YTD;0.0080627323208744
2023-02-01;"9429";APV;"1M";0.008078738753286574
2023-02-01;"9429";APV;"3M";0.021778384398658313
2023-02-01;"9429";APV;"6M";-0.008722760172460764
2023-02-01;"9429";APV;"1Y";0.010374458857942415
2023-02-01;"9429";APV;YTD;0.00832118522285108
2023-02-01;"9431";APV;"1M";0.008381842906133308
2023-02-01;"9431";APV;"3M";0.004165297256672584
2023-02-01;"9431";APV;"6M";-0.025354429445862636
2023-02-01;"9431";APV;"1Y";-0.01491953696595627
2023-02-01;"9431";APV;YTD;0.008450695198660485
2023-02-01;"9577";W-APV;"1M";-0.0050924400838481265
2023-02-01;"9577";W-APV;"3M";-0.00882809561114184
2023-02-01;"9577";W-APV;"6M";-0.01829497105508826
2023-02-01;"9577";W-APV;"1Y";0.02816783881887397
2023-02-01;"9577";W-APV;YTD;-0.0050924400838481265
2023-02-01;"9594";B;"1M";0.00315524468254047
2023-02-01;"9594";B;"3M";0.01364651095604641
2023-02-01;"9594";B;"6M";-0.013848166211752222
2023-02-01;"9594";B;"1Y";0.0016630286287402374
2023-02-01;"9594";B;YTD;0.0033690956841860853
2023-02-01;"9594";H;"1M";0.0034110896613475106
2023-02-01;"9594";H;"3M";0.014413637891157016
2023-02-01;"9594";H;"6M";-0.012355352388076724
2023-02-01;"9594";H;"1Y";0.008578268034143965
2023-02-01;"9594";H;YTD;0.0036413890575643926
2023-02-01;"9594";K;"1M";0.004007792778578212
2023-02-01;"9594";K;"3M";0.016204935691974898
2023-02-01;"9594";K;"6M";-0.008863702906705129
2023-02-01;"9594";K;"1Y";0.011731019206042914
2023-02-01;"9594";K;YTD;0.004276756662884962
2023-02-01;"9594";P;"1M";0.003410838657549986
2023-02-01;"9594";P;"3M";0.014413524430975544
2023-02-01;"9594";P;"6M";-0.012355592523405234
2023-02-01;"9594";P;"1Y";0.008577135635297495
2023-02-01;"9594";P;YTD;0.0036412042213349594
2023-02-01;"9646";APV;"1M";-0.0028979550204986104
2023-02-01;"9646";APV;"3M";0.00809494639179631
2023-02-01;"9646";APV;"6M";-0.00949537833121128
2023-02-01;"9646";APV;"1Y";0.03726065455656813
2023-02-01;"9646";APV;YTD;-0.002510957024523308
2023-02-02;"8032";APV;"1M";-0.010312549873794485
2023-02-02;"8032";APV;"3M";-0.01645563213671708
2023-02-02;"8032";APV;"6M";-0.04769604675395278
2023-02-02;"8032";APV;"1Y";-0.020180537022143286
2023-02-02;"8032";APV;YTD;-0.009936997502826506
2023-02-02;"8032";D;"1M";-0.011152742209468047
2023-02-02;"8032";D;"3M";-0.018931637400360635
2023-02-02;"8032";D;"6M";-0.052484360680648434
2023-02-02;"8032";D;"1Y";-0.029929660046941087
2023-02-02;"8032";D;YTD;-0.01085878285374664
2023-02-02;"8032";E;"1M";0.0
2023-02-02;"8032";E;"3M";0.0
2023-02-02;"8032";E;"6M";0.0
2023-02-02;"8032";E;"1Y";0.0
2023-02-02;"8032";E;YTD;0.0
2023-02-02;"8032";G;"1M";-0.010312453168344282
2023-02-02;"8032";G;"3M";-0.01645558431144245
2023-02-02;"8032";G;"6M";-0.047695788837403885
2023-02-02;"8032";G;"1Y";-0.02018010911950474
2023-02-02;"8032";G;YTD;-0.009936879432623447
2023-02-02;"8116";APV;"1M";0.0008664993136649
2023-02-02;"8116";APV;"3M";0.025149731766525685
2023-02-02;"8116";APV;"6M";-0.0002546791373822
2023-02-02;"8116";APV;"1Y";0.039851161566620386
